Stato,Popolazione (1-4-2020),USCG,Capitale
,,"",
Alabama,5 024 279,AL,Montgomery
Alaska,733 391,AK,Juneau
Arizona,7 151 502,AZ,Phoenix
Arkansas,3 011 524,,
California,39 538 223,CF,Sacramento
Carolina del Nord,10 439 388,,Raleigh
Carolina del Sud,5 118 425,,Columbia
Colorado,5 773 714,CL,Denver
Connecticut,3 605 944,CT,Hartford
Dakota del Nord,779 094,,Bismarck
Dakota del Sud,886 667,,Pierre
Delaware,989 948,DL,Dover
Distretto di Columbia,689 545,,
Florida,21 538 187,FL,Tallahassee
Georgia,10 711 908,GA,Atlanta
Guam,168 485,,
Hawaii,1 455 271,HA,Honolulu
Idaho,1 839 106,ID,Boise
Illinois,12 812 508,IL,Springfield
Indiana,6 785 528,IN,Indianapolis
Iowa,3 190 369,IA,Des Moines
Isole Marianne Settentrionali,49 437,,
Isole Vergini Americane,106 235,,
Kansas,2 937 880,KA,Topeka
Kentucky,4 505 836,KY,Frankfort
Louisiana,4 657 757,LA,Baton Rouge
Maine,1 362 359,ME,Augusta
Maryland,6 177 224,MD,Annapolis
Massachusetts,7 029 917,MS,Boston
Michigan,10 077 331,MC,Lansing
Minnesota,5 706 494,MN,Saint Paul
Mississippi,2 961 279,MI,Jackson
Missouri,6 154 913,MO,Jefferson City
Montana,1 084 225,MT,Helena
Nebraska,1 961 504,NB,Lincoln
Nevada,3 104 614,NV,Carson City
New Hampshire,1 377 529,NH,Concord
New Jersey,9 288 994,NJ,Trenton
New York,20 201 249,NY,Albany
Nuovo Messico,2 117 522,,Santa Fe
Ohio,11 799 448,OH,Columbus
Oklahoma,3 959 353,OK,Oklahoma City
Oregon,4 237 256,OR,Salem
Pennsylvania,13 002 700,PA,Harrisburg
Porto Rico,3 285 874,,
Rhode Island,1 097 379,,
Samoa Americane,51 433,,
Tennessee,6 910 840,TN,Nashville
Texas,29 145 505,TX,Austin
Utah,3 271 616,UT,Salt Lake City
Vermont,643 077,VT,Montpelier
Virginia,8 631 393,VA,Richmond
Virginia Occidentale,1 793 716,,Charleston
Washington,7 705 281,WN,Olympia
Wisconsin,5 893 718,WS,Madison
Wyoming,576 851,WY,Cheyenne
